,host_material,semiconductor_2,semiconductor_3,semiconductor_1_pct,semiconductor_2_pct,co_catalyst,co_catalyst_wt_pct,form,structure,bandgap_eV,full_catalyst,preparation_semiconductor,calcination_temp_semiconductor_C,calcination_time_semiconductor_h,preparation_photocatalyst,calcination_temp_photocatalyst_C,calcination_time_photocatalyst_h,light_type,light_source_type,light_power_W,light_power_reported,wavelength_cutoff_nm,is_xe_lamp,is_hg_lamp,is_led,is_uv,is_visible_light,catalyst_loading_g_L,catalyst_loading_mg,catalyst_loading_reported,reaction_volume_mL,glycerol_concentration_v_pct,glycerol_concentration_std,glycerol_concentration_reported,temperature_C,pH,HER_reported,HER_std_umol_g_h,DOI,source_url,paper_title,journal,year,authors,data_quality_flag,data_quality_note,confidence_HER,confidence_loading,confidence_volume,confidence_light,confidence_wavelength,confidence_pH,confidence_bandgap,metadata_completeness_score,experiment_hash,semi_bandgap_eV,semi_electron_affinity_eV,semi_dielectric,semi_crystal,semi_density,cocat_work_function,cocat_d_band_center,cocat_atomic_radius,cocat_electronegativity,cocat_price,log_HER
559,tio2,,,100.0,,pt,1.0,nanoparticle,anatase-brookite,,1wt%pt/tio2,,,0.0,photodeposition,,0.0,visible,xe lamp,100.0,100 w,420.0,1,0,0,0,1,0.25,300.0,0.25 g/l,1200.0,4.5,0.6162,4.5 vol%,30.0,,269120 μmol g⁻¹ h⁻¹,269120.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,catalysis today,2024.0,"herrera-beurnio m, c. et al.",ok,"catalyst loading calc: 0.25 g/l × 1200.0 ml = 300.00 mg; glycerol std: (4.5/100×1261)/92.09 = 0.6162 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,low,0.5,10d68c940de8bb03,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,12.502916371574322
759,zno,zns,,51.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,40.0,,932.3 μmol g⁻¹ h⁻¹,932.3,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,60482c77a669a964,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,6.838726692571701
758,zno,zns,,58.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,80.0,,2608.7 μmol g⁻¹ h⁻¹,2608.7,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,8f632c20eb7918ef,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,7.866990551181605
757,zno,zns,,58.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,60.0,,1959.6 μmol g⁻¹ h⁻¹,1959.6,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,0035a223b0a47657,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,7.581005827827625
756,zno,zns,,58.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,40.0,,1211.4 μmol g⁻¹ h⁻¹,1211.4,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,a56cfaa60b815d63,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,7.100357145183648
755,zno,zns,,63.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,80.0,,2036.8 μmol g⁻¹ h⁻¹,2036.8,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,bea623f22b85636e,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,7.619626073540185
754,zno,zns,,63.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,60.0,,1549.9 μmol g⁻¹ h⁻¹,1549.9,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,7aa5a5239bdf4a56,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,7.346590686565407
753,zno,zns,,63.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,40.0,,920.43 μmol g⁻¹ h⁻¹,920.43,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,ae74e1c3c23a06ca,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,6.8259268111209
752,zno,zns,,74.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,80.0,,1692.4 μmol g⁻¹ h⁻¹,1692.4,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,54467834c39ef85c,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,7.434493621208177
751,zno,zns,,74.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,60.0,,1068.9 μmol g⁻¹ h⁻¹,1068.9,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,b3474195fef1d4a7,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,6.975320465144561
134,tio2,,,100.0,,cp-1,5.0,nanoparticle,anatase-rutile,,5wt%cp-1/tio2,,,0.0,precipitation,,0.0,uv,,,,,0,0,0,1,0,0.2,5.0,0.2 g/l,25.0,15.0,2.054,15 vol%,25.0,6.5,17400 μmol g⁻¹ h⁻¹,17400.0,10.1016/j.ijhydene.2018.12.045,https://doi.org/10.1016/j.ijhydene.2018.12.045,a new insight for photocatalytic hydrogen production by a cu/ni based cyanide bridged polymer as a cocatalyst on titania support in glycerol water mixture,international journal of hydrogen energy,2019.0,ibrahim et al.,needs_review,catalyst loading calc: 0.2 g/l × 25.0 ml = 5.00 mg; glycerol std: (15.0/100×1261)/92.09 = 2.0540 m; doi resolved via crossref api,high,medium,high,low,low,high,low,0.5,80becb84bf282f3e,3.2,4.21,86.0,1.0,3.89,4.9,-2.0,130.0,2.0,3.0,9.76428295481558
133,tio2,,,100.0,,cp-1,5.0,nanoparticle,anatase-rutile,,5wt%cp-1/tio2,,,0.0,precipitation,,0.0,uv,,,,,0,0,0,1,0,0.2,5.0,0.2 g/l,25.0,10.0,1.3693,10 vol%,25.0,6.5,13400 μmol g⁻¹ h⁻¹,13400.0,10.1016/j.ijhydene.2018.12.045,https://doi.org/10.1016/j.ijhydene.2018.12.045,a new insight for photocatalytic hydrogen production by a cu/ni based cyanide bridged polymer as a cocatalyst on titania support in glycerol water mixture,international journal of hydrogen energy,2019.0,ibrahim et al.,needs_review,catalyst loading calc: 0.2 g/l × 25.0 ml = 5.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,low,low,high,low,0.5,2d6c86952ec1563e,3.2,4.21,86.0,1.0,3.89,4.9,-2.0,130.0,2.0,3.0,9.503084610020228
132,tio2,,,100.0,,cp-1,5.0,nanoparticle,anatase-rutile,,5wt%cp-1/tio2,,,0.0,precipitation,,0.0,uv,,,,,0,0,0,1,0,0.2,5.0,0.2 g/l,25.0,5.0,0.6847,5 vol%,25.0,6.5,9200 μmol g⁻¹ h⁻¹,9200.0,10.1016/j.ijhydene.2018.12.045,https://doi.org/10.1016/j.ijhydene.2018.12.045,a new insight for photocatalytic hydrogen production by a cu/ni based cyanide bridged polymer as a cocatalyst on titania support in glycerol water mixture,international journal of hydrogen energy,2019.0,ibrahim et al.,needs_review,catalyst loading calc: 0.2 g/l × 25.0 ml = 5.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,high,low,0.5,4de2ee293afe6f0e,3.2,4.21,86.0,1.0,3.89,4.9,-2.0,130.0,2.0,3.0,9.127067452782361
131,tio2,,,100.0,,cp-1,5.0,nanoparticle,anatase-rutile,,5wt%cp-1/tio2,,,0.0,precipitation,,0.0,uv,,,,,0,0,0,1,0,0.2,5.0,0.2 g/l,25.0,2.0,0.2739,2 vol%,25.0,6.5,4600 μmol g⁻¹ h⁻¹,4600.0,10.1016/j.ijhydene.2018.12.045,https://doi.org/10.1016/j.ijhydene.2018.12.045,a new insight for photocatalytic hydrogen production by a cu/ni based cyanide bridged polymer as a cocatalyst on titania support in glycerol water mixture,international journal of hydrogen energy,2019.0,ibrahim et al.,needs_review,catalyst loading calc: 0.2 g/l × 25.0 ml = 5.00 mg; glycerol std: (2.0/100×1261)/92.09 = 0.2739 m; doi resolved via crossref api,high,medium,high,low,low,high,low,0.5,7dfb3373153f46b5,3.2,4.21,86.0,1.0,3.89,4.9,-2.0,130.0,2.0,3.0,8.434028950155469
130,tio2,,,100.0,,cp-1,2.5,nanoparticle,anatase-rutile,,2.5wt%cp-1/tio2,,,0.0,precipitation,,0.0,uv,,,,,0,0,0,1,0,0.2,5.0,0.2 g/l,25.0,5.0,0.6847,5 vol%,25.0,6.5,6400 μmol g⁻¹ h⁻¹,6400.0,10.1016/j.ijhydene.2018.12.045,https://doi.org/10.1016/j.ijhydene.2018.12.045,a new insight for photocatalytic hydrogen production by a cu/ni based cyanide bridged polymer as a cocatalyst on titania support in glycerol water mixture,international journal of hydrogen energy,2019.0,ibrahim et al.,needs_review,catalyst loading calc: 0.2 g/l × 25.0 ml = 5.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,high,low,0.5,7e156d2fa7de182b,3.2,4.21,86.0,1.0,3.89,4.9,-2.0,130.0,2.0,3.0,8.764209507142004
129,tio2,,,100.0,,co-n,,nanotube,anatase-rutile,,xwt%co-n/tio2,,,0.0,sol-gel,450.0,4.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,2.0,20.0,2 g/l,10.0,10.0,1.3693,10 vol%,30.0,,313 μmol g⁻¹ h⁻¹,313.0,10.1016/j.ceramint.2020.03.107,https://doi.org/10.1016/j.ceramint.2020.03.107,a facile synthesis of mesoporous α- fe2o3/tio2 nanocomposites for hydrogen evolution under visible light,ceramics international,2020.0,mohamed et al.,needs_review,catalyst loading calc: 2.0 g/l × 10.0 ml = 20.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,62b48458da8fdb4f,3.2,4.21,86.0,1.0,3.89,4.9,-2.0,130.0,2.0,3.0,5.749392985908253
152,tio2,,,100.0,,cu,0.3,nanoparticle,anatase-rutile,3.05,0.3wt%cu/tio2,,,0.0,impregnation,450.0,5.0,visible,,400.0,400 w,,0,0,0,0,1,2.0,100.0,2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,9300 μmol g⁻¹ h⁻¹,9300.0,10.1021/jp107405u,https://doi.org/10.1021/jp107405u,highly stabilized and finely dispersed cu2o/tio2: a promising visible sensitive photocatalyst for continuous production of hydrogen from glycerol: water mixtures,the journal of physical chemistry c,2010.0,lalitha et al.,needs_review,catalyst loading calc: 2.0 g/l × 50.0 ml = 100.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,low,high,0.5,e93fc016ac20e159,3.2,4.21,86.0,1.0,3.89,4.65,-2.67,128.0,1.9,2.0,9.137877200242468
773,zno-zns,,,100.0,,,,nanocomposite,,,zno-zns,solution,,0.0,dispersion,,0.0,uv,hg lamp,300.0,300 w,,0,1,0,1,0,0.5,50.0,0.5 g/l,100.0,20.0,2.7386,20 vol%,30.0,,269.9 μmol g⁻¹ h⁻¹,269.9,10.1016/j.ijhydene.2018.05.035,https://doi.org/10.1016/j.ijhydene.2018.05.035,facile synthesis of noble-metal free polygonal zn2tio4 nanostructures for highly efficient photocatalytic hydrogen evolution under solar light irradiation,international journal of hydrogen energy,2018.0,manchala et al.,needs_review,catalyst loading calc: 0.5 g/l × 100.0 ml = 50.00 mg; glycerol std: (20.0/100×1261)/92.09 = 2.7386 m; co_catalyst unknown - original data did not specify; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,efa30c63cb8db970,3.0,4.2,20.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.6017497490910495
772,zno-zns,,,100.0,,,,nanocomposite,,,zno-zns,solution,,0.0,dispersion,,0.0,uv,hg lamp,300.0,300 w,,0,1,0,1,0,0.5,50.0,0.5 g/l,100.0,10.0,1.3693,10 vol%,30.0,,193.3 μmol g⁻¹ h⁻¹,193.3,10.1016/j.ijhydene.2018.05.035,https://doi.org/10.1016/j.ijhydene.2018.05.035,facile synthesis of noble-metal free polygonal zn2tio4 nanostructures for highly efficient photocatalytic hydrogen evolution under solar light irradiation,international journal of hydrogen energy,2018.0,manchala et al.,needs_review,catalyst loading calc: 0.5 g/l × 100.0 ml = 50.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst unknown - original data did not specify; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,68528633c9d6cc0b,3.0,4.2,20.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.269403356383394
112,tio2,,,100.0,,au-pd,0.5,nanorod,anatase,,0.5wt%au-pd/tio2,hydrothermal,700.0,0.17,precipitation,,0.0,uv,,100.0,100 w,365.0,0,0,0,1,0,0.33,6.6,0.33 g/l,20.0,10.0,1.3693,10 vol%,,6.0,43300 μmol g⁻¹ h⁻¹,43300.0,10.1016/j.apcata.2018.08.004,https://doi.org/10.1016/j.apcata.2018.08.004,highly reactive anatase nanorod photocatalysts synthesized by calcination of hydrogen titanate nanotubes: effect of calcination conditions on photocatalytic performance for aqueous dye degradation and h2 production in alcohol-water mixtures,applied catalysis a: general,2018.0,chen et al.,needs_review,catalyst loading calc: 0.33 g/l × 20.0 ml = 6.60 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,low,medium,high,low,0.5,5f293ac693c71d76,3.2,4.21,86.0,1.0,3.89,5.16,-2.04,140.0,2.24,5.0,10.675931008412125
111,tio2,,,100.0,,au-pd,0.5,nanorod,anatase,,0.5wt%au-pd/tio2,hydrothermal,600.0,2.0,precipitation,,0.0,uv,,100.0,100 w,365.0,0,0,0,1,0,0.33,6.6,0.33 g/l,20.0,10.0,1.3693,10 vol%,,6.0,45000 μmol g⁻¹ h⁻¹,45000.0,10.1016/j.apcata.2018.08.004,https://doi.org/10.1016/j.apcata.2018.08.004,highly reactive anatase nanorod photocatalysts synthesized by calcination of hydrogen titanate nanotubes: effect of calcination conditions on photocatalytic performance for aqueous dye degradation and h2 production in alcohol-water mixtures,applied catalysis a: general,2018.0,chen et al.,needs_review,catalyst loading calc: 0.33 g/l × 20.0 ml = 6.60 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,low,medium,high,low,0.5,1c6e133fa7017a50,3.2,4.21,86.0,1.0,3.89,5.16,-2.04,140.0,2.24,5.0,10.714439990727769
110,tio2,,,100.0,,au-pd,0.5,nanorod,anatase,,0.5wt%au-pd/tio2,hydrothermal,600.0,0.33,precipitation,,0.0,uv,,100.0,100 w,365.0,0,0,0,1,0,0.33,6.6,0.33 g/l,20.0,10.0,1.3693,10 vol%,,6.0,45600 μmol g⁻¹ h⁻¹,45600.0,10.1016/j.apcata.2018.08.004,https://doi.org/10.1016/j.apcata.2018.08.004,highly reactive anatase nanorod photocatalysts synthesized by calcination of hydrogen titanate nanotubes: effect of calcination conditions on photocatalytic performance for aqueous dye degradation and h2 production in alcohol-water mixtures,applied catalysis a: general,2018.0,chen et al.,needs_review,catalyst loading calc: 0.33 g/l × 20.0 ml = 6.60 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,low,medium,high,low,0.5,54f725ea0f3bdfb5,3.2,4.21,86.0,1.0,3.89,5.16,-2.04,140.0,2.24,5.0,10.727684925086583
109,tio2,,,100.0,,au-pd,0.5,nanorod,anatase,,0.5wt%au-pd/tio2,hydrothermal,500.0,2.0,precipitation,,0.0,uv,,100.0,100 w,365.0,0,0,0,1,0,0.33,6.6,0.33 g/l,20.0,10.0,1.3693,10 vol%,,6.0,43000 μmol g⁻¹ h⁻¹,43000.0,10.1016/j.apcata.2018.08.004,https://doi.org/10.1016/j.apcata.2018.08.004,highly reactive anatase nanorod photocatalysts synthesized by calcination of hydrogen titanate nanotubes: effect of calcination conditions on photocatalytic performance for aqueous dye degradation and h2 production in alcohol-water mixtures,applied catalysis a: general,2018.0,chen et al.,needs_review,catalyst loading calc: 0.33 g/l × 20.0 ml = 6.60 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,low,medium,high,low,0.5,b4fc139cab97e3a5,3.2,4.21,86.0,1.0,3.89,5.16,-2.04,140.0,2.24,5.0,10.668978650219241
108,zno,cuo,,45.0,45.0,au,10.0,nanocomposite,,3.02,10wt%au/zno/cuo,,,0.0,sol-gel,600.0,3.0,visible,xe lamp,300.0,300 w,420.0,1,0,0,0,1,0.67,50.25,0.67 g/l,75.0,20.0,2.7386,20 vol%,25.0,,4567 μmol g⁻¹ h⁻¹,4567.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,international journal of hydrogen energy,2023.0,"ahmad, i. et al.",ok,"catalyst loading calc: 0.67 g/l × 75.0 ml = 50.25 mg; glycerol std: (20.0/100×1261)/92.09 = 2.7386 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,high,0.5,41ede5c4d3350e9a,3.37,4.35,8.5,3.0,5.61,5.1,-3.56,144.0,2.54,5.0,8.426830751335846
107,zno,cuo,,45.0,45.0,au,10.0,nanocomposite,,3.02,10wt%au/zno/cuo,,,0.0,sol-gel,600.0,3.0,visible,xe lamp,300.0,300 w,420.0,1,0,0,0,1,0.67,50.25,0.67 g/l,75.0,15.0,2.054,15 vol%,25.0,,4924 μmol g⁻¹ h⁻¹,4924.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,international journal of hydrogen energy,2023.0,"ahmad, i. et al.",ok,"catalyst loading calc: 0.67 g/l × 75.0 ml = 50.25 mg; glycerol std: (15.0/100×1261)/92.09 = 2.0540 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,high,0.5,bec12641c1af59db,3.37,4.35,8.5,3.0,5.61,5.1,-3.56,144.0,2.54,5.0,8.502079553606189
106,zno,cuo,,45.0,45.0,au,10.0,nanocomposite,,3.02,10wt%au/zno/cuo,,,0.0,sol-gel,600.0,3.0,visible,xe lamp,300.0,300 w,420.0,1,0,0,0,1,0.67,50.25,0.67 g/l,75.0,5.0,0.6847,5 vol%,25.0,,4130 μmol g⁻¹ h⁻¹,4130.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,international journal of hydrogen energy,2023.0,"ahmad, i. et al.",ok,"catalyst loading calc: 0.67 g/l × 75.0 ml = 50.25 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,high,0.5,e798b6efadcf3d6c,3.37,4.35,8.5,3.0,5.61,5.1,-3.56,144.0,2.54,5.0,8.326274787396764
105,zno,,,100.0,,au,,nanocomposite,,3.07,xwt%au/zno,,,0.0,,,0.0,visible,xe lamp,300.0,300 w,420.0,1,0,0,0,1,0.67,50.25,0.67 g/l,75.0,10.0,1.3693,10 vol%,25.0,,1455 μmol g⁻¹ h⁻¹,1455.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,international journal of hydrogen energy,2023.0,"ahmad, i. et al.",ok,"catalyst loading calc: 0.67 g/l × 75.0 ml = 50.25 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,high,0.5,dd8defd588a7f342,3.37,4.35,8.5,3.0,5.61,5.1,-3.56,144.0,2.54,5.0,7.283448228756631
104,zno,cuo,,45.0,45.0,au,10.0,nanocomposite,,3.02,10wt%au/zno/cuo,,,0.0,sol-gel,600.0,3.0,visible,xe lamp,300.0,300 w,420.0,1,0,0,0,1,0.67,50.25,0.67 g/l,75.0,10.0,1.3693,10 vol%,25.0,,4655 μmol g⁻¹ h⁻¹,4655.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,international journal of hydrogen energy,2023.0,"ahmad, i. et al.",ok,"catalyst loading calc: 0.67 g/l × 75.0 ml = 50.25 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,high,0.5,9fe870a772e7bbcc,3.37,4.35,8.5,3.0,5.61,5.1,-3.56,144.0,2.54,5.0,8.445911989411274
764,zno,zns,,58.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,80.0,,1395.5 μmol g⁻¹ h⁻¹,1395.5,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,40a926132d19158f,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,7.241724385385232
763,zno,zns,,58.0,,,,nanorod,,,zno/zns,water bath,,0.0,sulfidation,,0.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,30.0,300.0,30 g/l,10.0,7.0,0.9585,7 vol%,60.0,,724.47 μmol g⁻¹ h⁻¹,724.47,10.1016/j.apsusc.2013.07.009,https://doi.org/10.1016/j.apsusc.2013.07.009,"zno/zns–pds core/shell nanorods: synthesis, characterization and application for photocatalytic hydrogen production from a glycerol/water solution",applied surface science,2013.0,liu et al.,needs_review,catalyst loading calc: 30.0 g/l × 10.0 ml = 300.00 mg; glycerol std: (7.0/100×1261)/92.09 = 0.9585 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,77a91b3d5f9e5bb3,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,6.5868197206767185
